id,nombre
1,"TÉCNICO DE INSTALACIONES"
2,"AUXILIAR TECNICO"
3,"TORRE DE CONTROL"
4,"SUPERVISOR TECNICO"
5,ALMACENISTA
6,"ASESOR COMERCIAL"
7,"COORDINADOR COMERCIAL "
8,"AUXILIAR FINANCIERO"
9,"GERENTE ADMINISTRATIVO"
10,"GERENTE FINANCIERO"
11,"DIRECTOR GENERAL"
12,"ASISTENTE TALENTO HUMANO"
13,"LIDER PROCESOS COMERCIALES Y OPERATIVOS"
14,TESORERA
15,ABOGADA
16,"AUXILIAR ADMINISTRATIVA"
17,"LIDER DE TALENTO HUMANO"
18,CONTADOR
19,"SECRETARIA DE VENTAS"
20,"GERENTE DE PROCESOS ADMINISTRATIVOS"
21,"CORDINADOR DE OPERACIONES"
22,"COORDINADOR SST"
23,"LIDER DE COMPRAS"
24,"SERVICIOS GENERALES"
25,"ASISTENTE INVENTARIOS"
26,"SUPERVISOR COMERCIAL DE SUBAGENTES AVANTEL"
27,"COORDINADOR DE ANALISIS OPERATIVO"
28,"SUPERVISOR COMERCIAL DE SUBAGENTES"
29,"COORDINADOR COMERCIAL DE SUBAGENTES"
30,"ASESOR COMERCIAL AVANTEL"
31,"AUXILIAR DE COMPRAS"
32,"ANALISTA DE NOMINA"
33,"ANALISTA DE CONTRATACION"
34,"LIDER DE ALMACEN"
35,"AUXILIAR DE AVANTEL"
36,"LIDER TIC"
37,"AUXILIAR RECARGAS"
38,"GERENTE OPERATIVO"
39,"SUPERVISOR DE ALMACEN"
40,"SUPERVISOR DE CALIDAD Y ENTRENAMIENTO"
41,"LIDER DE OFICINA"
42,"GERENTE REGIONAL"
43,"COORDINADOR DE ENTRENAMIENTO OPERATIVO"
44,"LIDER DE LOGISTICA"
45,"COORDINADORA DE CALIDAD"
46,"COORDINADOR DE ANALISIS COMERCIAL"
47,"TECNICO EN SISTEMAS"
49,"GERENTE DE PROCESOS"
50,"COORDINADOR TALENTO HUMANO"
51,"DIRECTOR GENERAL"
52,"ASISTENTE ADMINISTRATIVA"
53,"ASESOR COMERCIAL CONDUCTOR"
54,"SUPERVISOR COMERCIAL"
55,"AUXILIAR DE ALMACEN"
56,"COORDINADOR COMERCIAL SUBAGENTES-AVANTEL"
57,"SUPERVISOR CONTROL INTERNO"
58,"AUXILIAR DE DISTRIBUCIONES"
59,"AUXILIAR ADMINISTRATIVA-SENA"
60,"ASESOR LIDER AVANTEL"
61,RECUPERADOR
62,"SUPERVISOR DE RECUPERACIONES"
63,"ANALISTA DE BIENESTAR"
64,"COORDINADORA DE SELECCION"
65,"AUXILIAR DE LOGISTICA"
66,"LIDER OPERATIVO"
67,"SECRETARIA VENTAS DE AVANTEL"
68,"GESTOR DE CHURN"
69,SUBAGENTE
70,"AUXILIAR TECNICO EN ALTURAS"
71,"SUPERVISOR AUDITORIA DE CALIDAD"
72,"COORDINADOR DE ANALISIS C Y P"
73,"ALMACENISTA DE LOGISTICA INVERSA"
74,"COORDINADOR LOGISTICA INVERSA"
75,CONDUCTOR
76,"AUDITOR DE CALIDAD"
77,"GERENTE COMERCIAL"
78,"ASESOR TAT"
79,"COORDINADOR REGIONAL DE ALMACÉN"
80,"VENDEDOR VIAJERO"
81,"COORDINADOR OPERATIVO"
82,"AUXILIAR BANCO DE PRUEBAS"
83,"TECNICO SENIOR"
84,"GERENTE CONTROL INTERNO"
85,"ANALISTA FINANCIERA "
86,"LIDER DE PLANEACION OPERATIVO"
87,"SUPERVISOR DE INVENTARIOS"
88,"AUXILIAR FINANCIERO DE INVENTARIOS"
89,"COORDINADOR SEGURIDAD Y SALUD EN EL TRABAJO (SST)"
90,"SUPERVISOR TORRE DE CONTROL"
91,"LIDER DE CALIDAD OPERATIVA"
92,"GERENTE DE DESARROLLO CORPORATIVO "
93,"SECRETARIO DE VENTAS"
94,"ALMACENISTA/TORRE DE CONTROL"
95,"TORRE DE CONTROL DE RECUPERACIONES"
96,"ASISTENTE ADMINISTRATIVO"
97,"ANALISTA FINANCIERO"
