id,nombre,id_ciudad,direccion,telefono,estado,id_consultor_mac,id_almacenista_mac,id_secretaria_mac,id_jefe_mac,id_user_mac,id_torre_mac,codigo_distribuidor,codigo_instalador,numero_contrato_inicial,numero_contrato_final,meta_prepago,meta_postpago,tipo_sede,id_sede_padre,sub_canal
1,SERVIMERCADEO PEREIRA,829,CRA 12 NO. 3 - 49,3401222,Activa,1146,0,12,0,35,79,0764,I004174,-,-,0,0,Principal,0,
2,SERVIMERCADEO CALI,1003,CALLE 47 NO.5AN-34 B/ LA FLORA,3703050,Activa,53,0,0,0,35,0,0709,I004283,0,0,0,0,Principal,2,Sala dealer
3,SERVIMERCADEO TULUA,1038,CARRERA 25 NO. 30-10 BARRIO SALESIANOS,2247442,Inactiva,34,0,0,0,338,0,0707,I005135,0,0,0,0,Principal,0,Otros
4,SERVIMERCADEO MANIZALES,318,CALLE 23 # 23-53,8902288,Activa,1394,1394,0,0,286,0,0765,I004219,0,0,0,0,Principal,4,
5,SERVIMERCADEO QUINDIO,817,CRA 19 # 1N-00 LOCAL 2 BULEVAR NIZA,7355578,Inactiva,1028,287,307,0,35,66,1751,I004218,0,0,0,0,Principal,0,Sala dealer
6,SERVIMERCADEO PASTO,713,CALLE 18 NO. 27 - 73,7364700,Activa,82,82,0,0,35,0,0713,I004332,0,0,0,0,Principal,6,
7,SERVIMERCADEO POPAYAN,361,CRA 9 NO. 1N - 57 BARRIO MODELO,8373038,Inactiva,86,86,0,0,338,0,1528,I004324,0,0,0,0,Principal,2,Otros
8,SERVIMERCADEO PUTUMAYO,1074,CALLE 9 NO. 19 - 26 BARRIO SAN FRANCISCO,3112310795,Inactiva,0,0,0,0,35,0,0712,I004320,0,0,0,0,Principal,8,
9,SERVIMERCADEO ATLÁNTICO,126,CL 58 # 64 – 29 BARRIO SANTA ANA,3855357,Activa,239,153,0,0,338,114,0725,I004271,0,0,0,0,Principal,0,Sala dealer
10,SERVIMERCADEO SANTA MARTA,654,CRA 8 # 15 -27,4363502,Inactiva,0,0,0,0,35,0,0733,I004395,0,0,0,0,Principal,0,
11,SERVIMERCADEO MONTERIA,427,CALLE 24 NO. 3-48,7898181,Activa,242,242,0,0,35,245,0732,I004412,0,o,0,0,Principal,0,
12,SERVIMERCADEO RIONEGRO,85,CARRERA 55 B Nº 17-59 MALL SAN BARTOLO,5627865,Activa,932,0,0,0,35,0,0676,I004212,0,0,0,0,Principal,0,
13,SERVIMERCADEO CAUCACIA,35,CARRERA 11 # 19-46,839 33 16,Inactiva,323,0,0,0,35,156,0678,I004276,0,0,0,0,Principal,0,
14,SERVIMERCADEO MEDELLIN,1,CARRERA 80 # 47 -13 LA FLORESTA,5812223,Activa,117,117,0,0,35,0,0677,I004213,0,0,0,0,Principal,0,
15,SERVIMERCADEO CUNDINAMA,470,CARRERA 13 # 14 - 44,3002454,Inactiva,197,197,0,0,4,0,01902,I004221,0,0,0,0,Principal,0,
16,SERVIMERCADEO TOLIMA,956,CRA 3 #46-40 PIEDRA PINTADA ,2650211,Inactiva,212,212,0,0,4,0,01902,I004222,0,0,0,0,Principal,0,
17,SERVIMERCADEO BUCARAMANGA,843,CARRERA  36 N. 38-38 B. EL PRADO,6960231,Activa,200,200,0,0,35,0,0752,I004393,0,0,0,0,Principal,0,Sala dealer
18,SERVIMERCADEO VILLAVICENC,684,CLL 15 # 9-75 BARRIO HAY MI LLANURA ,3163895289,Inactiva,0,0,0,0,4,0,01902,I004413,0,0,0,0,Principal,0,
