id,nombre
1,COMFENALCO
2,CAJASAN
3,COMFAMA
4,COMFACESAR
5,COLSUBSIDIO
6,CAFABA
7,"SIN CAJA DE COMPENSACION"
8,CAJAMAG
9,COMFANORTE
10,COMFABOY
11,COMFACASANARE
12,COMFAGUAJIRA
13,COMFAORIENTE
14,"COMFAMILIAR RISARALDA"
15,COMFANDI
16,"COMFENALCO QUINDIO"
17,CONFA
18,COMFACAUCA
19,"COMFAMILIAR NARIÑO"
20,"COMFAMILIAR ATLANTICO"
21,COMPENSAR
22,COMFACOR
23,"COMFENALCO SANTANDER"
24,"COMFAMILIARES CALDAS"
25,COMFACAUCA
26,CONFAMA
27,N/A
28,"CONFENALCO VALLE"
29,"CONFENALCO ANTIOQUIA"
30,"CONFENALCO VALLE"
31,"COMFENALCO TOLIMA"
32,"COMFAMILIAR BOLIVAR"
33,COFREM
34,"COMFAMILIAR CARTAGENA"
35,IESS
36,COMFASUCRE
37,CAFAM
