id,nombre,id_departamento,valor_flete,codigo_dane,codigo_dep,codigo_ciu,perimetro
1,Medellín,1,10000,5001,05,001,URBANO
2,Abejorral,1,10000,5002,05,002,EXTRARURAL
3,Abriaquí,1,10000,5004,05,004,EXTRARURAL
4,Alejandría,1,10000,5021,05,021,RURAL
5,Amagá,1,10000,5030,05,030,URBANO
6,Amalfi,1,10000,5031,05,031,EXTRARURAL
7,Andes,1,10000,5034,05,034,URBANO
8,Angelópolis,1,10000,5036,05,036,RURAL
9,Angostura,1,10000,5038,05,038,EXTRARURAL
10,Anorí,1,10000,5040,05,040,EXTRARURAL
11,"Santa fe antioquia",1,10000,5042,05,042,RURAL
12,Anza,1,10000,5044,05,044,EXTRARURAL
13,Apartadó,1,10000,5045,05,045,URBANO
14,Arboletes,1,10000,5051,05,051,URBANO
15,Argelia,1,10000,5055,05,055,EXTRARURAL
16,Armenia,1,10000,5059,05,059,RURAL
17,Barbosa,1,10000,5079,05,079,URBANO
18,Belmira,1,10000,5086,05,086,RURAL
19,Bello,1,10000,5088,05,088,URBANO
20,Betania,1,10000,5091,05,091,EXTRARURAL
21,Betulia,1,10000,5093,05,093,EXTRARURAL
22,bolívar,1,10000,5101,05,101,URBANO
23,Briceño,1,10000,5107,05,107,EXTRARURAL
24,Buriticá,1,10000,5113,05,113,EXTRARURAL
25,Cáceres,1,10000,5120,05,120,URBANO
26,Caicedo,1,10000,5125,05,125,EXTRARURAL
27,Caldas,1,10000,5129,05,129,URBANO
28,Campamento,1,10000,5134,05,134,EXTRARURAL
29,Cañasgordas,1,10000,5138,05,138,EXTRARURAL
30,Caracolí,1,10000,5142,05,142,RURAL
31,Caramanta,1,10000,5145,05,145,RURAL
32,Carepa,1,10000,5147,05,147,URBANO
33,"Carmen de viboral",1,10000,5148,05,148,RURAL
34,Carolina,1,10000,5150,05,150,RURAL
35,Caucasia,1,10000,5154,05,154,URBANO
36,Chigorodó,1,10000,5172,05,172,URBANO
37,Cisneros,1,10000,5190,05,190,URBANO
38,Cocorná,1,10000,5197,05,197,RURAL
39,Concepción,1,10000,5206,05,206,RURAL
40,Concordia,1,10000,5209,05,209,URBANO
41,Copacabana,1,10000,5212,05,212,URBANO
42,Dabeiba,1,10000,5234,05,234,RURAL
43,"Don matías",1,10000,5237,05,237,URBANO
44,Ebéjico,1,10000,5240,05,240,RURAL
45,"El bagre",1,10000,5250,05,250,URBANO
46,Entrerrios,1,10000,5264,05,264,URBANO
47,Envigado,1,10000,5266,05,266,URBANO
48,Fredonia,1,10000,5282,05,282,URBANO
49,Frontino,1,10000,5284,05,284,EXTRARURAL
50,Giraldo,1,10000,5306,05,306,EXTRARURAL
51,Girardota,1,10000,5308,05,308,URBANO
52,"Gómez plata",1,10000,5310,05,310,RURAL
53,Granada,1,10000,5313,05,313,EXTRARURAL
54,Guadalupe,1,10000,5315,05,315,EXTRARURAL
55,Guarne,1,10000,5318,05,318,URBANO
56,Guatape,1,10000,5321,05,321,URBANO
57,Heliconia,1,10000,5347,05,347,RURAL
58,Hispania,1,10000,5353,05,353,RURAL
59,Itagui,1,10000,5360,05,360,URBANO
60,Ituango,1,10000,5361,05,361,EXTRARURAL
61,Jardín,1,10000,5364,05,364,URBANO
62,Jericó,1,10000,5368,05,368,RURAL
63,"La ceja",1,10000,5376,05,376,URBANO
64,"La estrella",1,10000,5380,05,380,URBANO
65,"La pintada",1,10000,5390,05,390,RURAL
66,"La unión",1,10000,5400,05,400,RURAL
67,Liborina,1,10000,5411,05,411,EXTRARURAL
68,Maceo,1,10000,5425,05,425,RURAL
69,Marinilla,1,10000,5440,05,440,URBANO
70,Montebello,1,10000,5467,05,467,RURAL
71,Murindó,1,10000,5475,05,475,EXTRARURAL
72,Mutatá,1,10000,5480,05,480,RURAL
73,Nariño,1,10000,5483,05,483,EXTRARURAL
74,Necoclí,1,10000,5490,05,490,URBANO
75,Nechí,1,10000,5495,05,495,EXTRARURAL
76,Olaya,1,10000,5501,05,501,EXTRARURAL
77,Peñol,1,10000,5541,05,541,URBANO
78,Peque,1,10000,5543,05,543,EXTRARURAL
79,Pueblorrico,1,10000,5576,05,576,RURAL
80,"Puerto berrío",1,10000,5579,05,579,URBANO
81,"Puerto nare",1,10000,5585,05,585,RURAL
82,"Puerto triunfo",1,10000,5591,05,591,RURAL
83,Remedios,1,10000,5604,05,604,EXTRARURAL
84,Retiro,1,10000,5607,05,607,URBANO
85,Rionegro,1,10000,5615,05,615,URBANO
86,Sabanalarga,1,10000,5628,05,628,EXTRARURAL
87,Sabaneta,1,10000,5631,05,631,URBANO
88,Salgar,1,10000,5642,05,642,URBANO
89,"San andrés",1,10000,5647,05,647,EXTRARURAL
90,"San carlos",1,10000,5649,05,649,EXTRARURAL
91,"San francisco",1,10000,5652,05,652,EXTRARURAL
92,"San jerónimo",1,10000,5656,05,656,URBANO
93,"San josé de la montaña",1,10000,5658,05,658,EXTRARURAL
94,"San juan de urabá",1,10000,5659,05,659,URBANO
95,"San luis",1,10000,5660,05,660,EXTRARURAL
96,"San pedro",1,10000,5664,05,664,URBANO
97,"San pedro de uraba",1,10000,5665,05,665,RURAL
98,"San rafael",1,10000,5667,05,667,RURAL
99,"San roque",1,10000,5670,05,670,RURAL
100,"San vicente",1,10000,5674,05,674,RURAL
101,"Santa bárbara",1,10000,5679,05,679,RURAL
102,"Santa rosa de osos",1,10000,5686,05,686,URBANO
103,"Santo domingo",1,10000,5690,05,690,RURAL
104,"El santuario",1,10000,5697,05,697,RURAL
105,Segovia,1,10000,5736,05,736,EXTRARURAL
106,Sonson,1,10000,5756,05,756,URBANO
107,Sopetrán,1,10000,5761,05,761,URBANO
108,Támesis,1,10000,5789,05,789,RURAL
109,Tarazá,1,10000,5790,05,790,URBANO
110,Tarso,1,10000,5792,05,792,RURAL
111,Titiribí,1,10000,5809,05,809,RURAL
112,Toledo,1,10000,5819,05,819,EXTRARURAL
113,Turbo,1,10000,5837,05,837,URBANO
114,Uramita,1,10000,5842,05,842,EXTRARURAL
115,Urrao,1,10000,5847,05,847,EXTRARURAL
116,Valdivia,1,10000,5854,05,854,URBANO
117,Valparaíso,1,10000,5856,05,856,RURAL
118,Vegachí,1,10000,5858,05,858,EXTRARURAL
119,Venecia,1,10000,5861,05,861,RURAL
120,"Vigía del fuerte",1,10000,5873,05,873,EXTRARURAL
121,Yalí,1,10000,5885,05,885,EXTRARURAL
122,Yarumal,1,10000,5887,05,887,URBANO
123,Yolombó,1,10000,5890,05,890,RURAL
124,Yondó,1,10000,5893,05,893,RURAL
125,Zaragoza,1,10000,5895,05,895,URBANO
126,Barranquilla,2,10000,8001,08,001,URBANO
127,Baranoa,2,10000,8078,08,078,URBANO
128,"Campo de la cruz",2,10000,8137,08,137,URBANO
129,Candelaria,2,10000,8141,08,141,URBANO
130,Galapa,2,10000,8296,08,296,URBANO
131,"Juan de acosta",2,10000,8372,08,372,URBANO
132,Luruaco,2,10000,8421,08,421,URBANO
133,Malambo,2,10000,8433,08,433,URBANO
134,Manatí,2,10000,8436,08,436,URBANO
135,"Palmar de varela",2,10000,8520,08,520,URBANO
136,Piojó,2,10000,8549,08,549,URBANO
137,Polonuevo,2,10000,8558,08,558,URBANO
138,Ponedera,2,10000,8560,08,560,URBANO
139,"Puerto colombia",2,10000,8573,08,573,URBANO
140,Repelón,2,10000,8606,08,606,URBANO
141,Sabanagrande,2,10000,8634,08,634,URBANO
142,Sabanalarga,2,10000,8638,08,638,URBANO
143,"Santa lucía",2,10000,8675,08,675,URBANO
144,"Santo tomás",2,10000,8685,08,685,URBANO
145,Soledad,2,10000,8758,08,758,URBANO
146,Suan,2,10000,8770,08,770,URBANO
147,Tubará,2,10000,8832,08,832,URBANO
148,Usiacurí,2,10000,8849,08,849,URBANO
149,"SANTA FE DE BOGOTA",11,10000,11001,11,001,URBANO
150,Cartagena,4,10000,13001,13,001,URBANO
151,Achí,4,10000,13006,13,006,EXTRARURAL
152,"Altos del rosario",4,10000,13030,13,030,EXTRARURAL
153,Arenal,4,10000,13042,13,042,EXTRARURAL
154,Arjona,4,10000,13052,13,052,URBANO
155,Arroyohondo,4,10000,13062,13,062,URBANO
156,"Barranco de loba",4,10000,13074,13,074,RURAL
157,Calamar,4,10000,13140,13,140,URBANO
158,Cantagallo,4,10000,13160,13,160,EXTRARURAL
159,Cicuco,4,10000,13188,13,188,EXTRARURAL
160,Córdoba,4,10000,13212,13,212,RURAL
