"Empresa","Item","precio","estado","nomtipo"
"SERVIMERCADEO","BLUSA MATERNA S","31862","Activo","DOTACION"
"SERVIMERCADEO","BLUSA MATERNA M","31862","Activo","DOTACION"
"SERVIMERCADEO","BLUSA MATERNA L","31862","Activo","DOTACION"
"SERVIMERCADEO","BLUSA MATERNA XL","32586","Activo","DOTACION"
"SERVIMERCADEO","BLUSA MATERNA XXL","28000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 35","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 36","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 37","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 38","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 39","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 40","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 41","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 42","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 43","80000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 44","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 45","68000","Activo","DOTACION"
"SERVIMERCADEO","BOTAS INSTALADOR 46","68000","Activo","DOTACION"
"SERVIMERCADEO","BRAZALETE PARA CARNET","2760","Activo","CARNET"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS HOMBRE 2XL","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS HOMBRE 3XL","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS HOMBRE L","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS HOMBRE M","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS HOMBRE S","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS HOMBRE XL","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER 2XL","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER 3XL","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER L","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER M","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER S","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER XL","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA COMERCIAL CON LOGOS EN LAS MANGAS MUJER XS","67800","Activo","DOTACION"
"SERVIMERCADEO","CAMISA SUPERVISOR DOS LOGOS M/L L","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA SUPERVISOR DOS LOGOS M/L M","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA SUPERVISOR DOS LOGOS M/L S","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA SUPERVISOR DOS LOGOS M/L XL","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA SUPERVISOR DOS LOGOS M/L XXL","69400","Activo","DOTACION"
"SERVIMERCADEO","CAMISA SUPERVISOR DOS LOGOS M/L XXXL","69400","Activo","DOTACION"
"SERVIMERCADEO","CARNET","11000","Activo","CARNET"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO L","79000","Activo","DOTACION"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO M","79000","Activo","DOTACION"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO S","79000","Activo","DOTACION"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO XL","79000","Activo","DOTACION"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO XS","79000","Activo","DOTACION"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO XXL","79000","Activo","DOTACION"
"SERVIMERCADEO","CONJUNTO ANTIFLUIDO XXXL","79000","Activo","DOTACION"
"SERVIMERCADEO","GORRA","30600","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 10","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 12","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 14","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 16","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 18","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 20","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 22","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 24","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 4","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 6","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACEN MUJER 8","50000","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 28","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 30","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 32","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 34","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 36","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 38","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 40","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 42","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 44","49200","Activo","DOTACION"
"SERVIMERCADEO","JEAN TORRE DE CONTROL Y ALMACENISTA HOMBRE 46","49200","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 28","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 30","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 32","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 34","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 36","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 38","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 40","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 42","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL HOMBRE 44","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 10","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 12","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 14","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 16","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 18","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 20","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 22","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 24","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 4","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 6","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON COMERCIAL MUJER 8","67900","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 28","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 30","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 32","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 34","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 36","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 38","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 40","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 42","61300","Activo","DOTACION"
"SERVIMERCADEO","PANTALON DE DRIL TECNICOS 44","61300","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA 2XL","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA 3XL","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA L","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA M","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA S","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA XL","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA FEMENINA XS","36000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA MASCULINA 2XL","56000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA MASCULINA 3XL","56000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA MASCULINA L","56000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA MASCULINA M","56000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA MASCULINA S","56000","Activo","DOTACION"
"SERVIMERCADEO","POLO GRIS ADMINISTRATIVA MASCULINA XL","56000","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/C L","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/C M","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/C S","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/C XL","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/C XXL","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/CXXXL","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/L L","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/L M","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/L S","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/L XL","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/L XXL","68200","Activo","DOTACION"
"SERVIMERCADEO","POLO INSTALADOR AZUL OSCURO M/L XXXL","68200","Activo","DOTACION"
"SERVIMERCADEO","PORTA CANET ","10000","Activo","DOTACION"
"SERVIMERCADEO","PVC PARA CARNET","540","Activo","CARNET"
"SERVIMERCADEO","YOYO PARA CARNET","1780","Activo","CARNET"
"SERVIMERCADEO","REATA AZUL OSCURO","12500","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 10 (M)","90603","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 12 (L)","90603","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 14 (XL)","90603","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 16 (2XL)","90603","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 18 (3XL)","80038","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 6 (XS)","90603","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME FEMENINO 8 (S)","90603","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME MASCULINO 2XL","93117","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME MASCULINO 3XL","93117","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME MASCULINO L","93117","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME MASCULINO M","93117","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME MASCULINO S","93117","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL HOME MASCULINO XL","93117","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL TIGO EXPRESS FEMENINO 10 (M)","75273","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL TIGO EXPRESS FEMENINO 12 (L)","75273","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL TIGO EXPRESS FEMENINO 14 (XL)","75273","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL TIGO EXPRESS FEMENINO 16 (2XL)","75273","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL TIGO EXPRESS FEMENINO 18 (3XL)","75273","Activo","DOTACION"
"SYM","SYM CHAQUETA AZUL TIGO EXPRESS FEMENINO 20 (4XL)","75273","Activo","DOTACION"
